"n_Acc","x","y","shoe","row_number","min_dist","horiz_dist"
0,-0.025,0.265,102,6039,0.146552986246537,0.150037032465692
0,0.121666666666667,0.358333333333333,102,6040,0.0731057073315377,0.083399973354645
0,-0.0916666666666667,0.288333333333333,102,6041,0.0760116950066093,0.08
0,0.0616666666666667,0.391666666666667,102,6042,0.100055540132024,0.123513382090993
0,0.0916666666666667,0.171666666666667,102,6043,0.135359603361646,0.136707311029399
0,0.025,-0.471666666666667,102,6044,0.0328295260059867,0.0773160900316213
0,-0.135,0.121666666666667,102,6045,0.0433333333333333,0.0433333333333333
0,0.141666666666667,-0.278333333333333,102,6046,0.0466666666666663,0.0466666666666663
0,0.141666666666667,-0.328333333333333,102,6047,0.0390156663690652,0.0399999999999997
0,-0.015,0.435,102,6048,0.0866666666666666,0.116666666666667
0,0.108333333333333,-0.285,102,6049,0.0784573486395991,0.0800000000000003
0,0.168333333333333,-0.205,102,6050,0.0200000000000003,0.0200000000000003
0,-0.0983333333333333,0.218333333333333,102,6051,0.0833333333333334,0.0833333333333334
0,0.125,-0.118333333333333,102,6052,0.0666666666666667,0.0666666666666667
0,-0.00833333333333333,0.0183333333333333,102,6053,0.153333333333333,0.153333333333333
0,0.0683333333333333,-0.0816666666666667,102,6054,0.126710518724988,0.126710518724988
0,0.111666666666667,-0.291666666666667,102,6055,0.074012011037248,0.074012011037248
0,-0.0716666666666667,-0.225,102,6056,0.09,0.09
0,-0.0583333333333333,-0.261666666666667,102,6057,0.1,0.1
1,-0.118333333333333,-0.435,103,6058,0.0492160768674449,0.0500000000000003
1,-0.108333333333333,-0.455,103,6059,0.0448454134902459,0.0534373984729383
1,0.065,0.241666666666667,103,6060,0.131318104023948,0.140039676917333
1,0.095,0.178333333333333,103,6061,0.123333333333333,0.126666666666667
0,-0.0916666666666667,-0.258333333333333,103,6062,0.071956777149743,0.0733333333333333
0,0.0983333333333333,-0.405,103,6063,0.0495535624910617,0.0501109879279097
0,-0.148333333333333,0.265,103,6064,0.0380058475033049,0.0400000000000003
0,0.0916666666666667,-0.405,103,6065,0.055876848714134,0.0567646212197546
0,-0.075,-0.455,103,6066,0.0495535624910617,0.0867307455417179
0,0.0383333333333333,-0.381666666666667,103,6067,0.104189997387252,0.106666666666667
0,-0.0316666666666667,-0.418333333333333,103,6068,0.0734090518184844,0.136666666666667
0,0.035,0.458333333333333,103,6069,0.0537483849886573,0.0700793201387621
0,-0.0183333333333333,0.395,103,6070,0.106718737290547,0.123333333333333
0,-0.0216666666666667,0.255,103,6071,0.163435342295083,0.166666666666667
0,-0.118333333333333,-0.471666666666667,103,6072,0.0260341655863554,0.028480012484392
0,0.0516666666666667,0.311666666666667,103,6073,0.113333333333333,0.12684198393627
0,-0.111666666666667,0.141666666666667,103,6074,0.076011695006609,0.0766666666666663
0,0.065,0.141666666666667,103,6075,0.160034718455437,0.160034718455437
0,-0.015,0.0116666666666667,103,6076,0.147007180474666,0.15
0,0.108333333333333,0.0683333333333333,103,6077,0.103387082795139,0.11
0,-0.015,0.481666666666667,103,6078,0.0405517502019877,0.0641179468722378
0,0.138333333333333,0.128333333333333,103,6079,0.0882546819658252,0.0900000000000003
0,-0.035,-0.431666666666667,103,6080,0.0603692342542491,0.133333333333333
0,-0.055,0.228333333333333,103,6081,0.134824989441045,0.136666666666667
1,-0.128333333333333,0.151666666666667,104,6082,0.0372677996249969,0.0372677996249969
1,-0.015,0.211666666666667,104,6083,0.159513148186739,0.16
1,-0.005,0.325,104,6084,0.119350091933121,0.153478192442951
1,0.015,-0.275,104,6085,0.146666666666667,0.146666666666667
1,0.055,0.205,104,6086,0.143333333333333,0.143333333333333
1,0.055,-0.451666666666667,104,6087,0.0141421356237307,0.0141421356237307
1,0.111666666666667,-0.348333333333333,104,6088,0.0377123616632825,0.0434613493680174
1,0.165,0.171666666666667,104,6089,0.0366666666666667,0.0366666666666667
0,-0.015,0.261666666666667,104,6090,0.156808446484521,0.156808446484521
0,0.00833333333333333,-0.441666666666667,104,6091,0.033333333333333,0.0667499479816693
0,0.025,-0.318333333333333,104,6092,0.120185042515467,0.136829171678492
0,-0.0883333333333333,0.035,104,6093,0.0433333333333334,0.0434613493680177
0,0.128333333333333,0.365,104,6094,0.0210818510677895,0.0210818510677895
0,0.085,0.218333333333333,104,6095,0.11180339887499,0.113333333333333
0,0.148333333333333,0.128333333333333,104,6096,0.05011098792791,0.05011098792791
0,0.0116666666666667,-0.321666666666667,104,6097,0.125476868164791,0.140039676917333
0,0.0483333333333333,0.101666666666667,104,6098,0.144721955640616,0.146704540564436
0,0.151666666666667,0.268333333333333,104,6099,0.0366666666666663,0.0366666666666663
0,0.095,0.00833333333333333,104,6100,0.0872416821886827,0.0872416821886827
0,0.118333333333333,0.388333333333333,104,6101,0.0210818510677896,0.0210818510677896
0,-0.151666666666667,0.245,104,6102,0.023333333333333,0.023333333333333
0,0.118333333333333,0.158333333333333,104,6103,0.0833333333333337,0.0833333333333337
0,-0.125,0.335,104,6104,0.0298142396999972,0.030731814857643
0,0.155,0.108333333333333,104,6105,0.0412310562561765,0.0412310562561765
0,-0.0883333333333333,0.015,104,6106,0.0372677996249965,0.0372677996249965
0,-0.0983333333333333,-0.265,104,6107,0.0333333333333334,0.0333333333333334
0,0.095,0.0116666666666667,104,6108,0.0876863095864394,0.0900617072407086
0,0.158333333333333,0.308333333333333,104,6109,0.0166666666666671,0.0169967317119763
1,-0.141666666666667,0.158333333333333,105,6110,0.0299999999999997,0.0299999999999997
1,-0.138333333333333,0.225,105,6111,0.0400000000000003,0.0400000000000003
1,-0.138333333333333,0.191666666666667,105,6112,0.036666666666667,0.036666666666667
1,-0.138333333333333,0.151666666666667,105,6113,0.0328295260059875,0.0333333333333337
1,-0.135,0.321666666666667,105,6114,0.0328295260059869,0.0334995854037363
1,-0.121666666666667,-0.298333333333333,105,6115,0.0266666666666663,0.0266666666666663
1,-0.118333333333333,0.318333333333333,105,6116,0.0495535624910621,0.0504424865014056
1,-0.111666666666667,0.151666666666667,105,6117,0.0582141639885764,0.0599999999999997
1,-0.108333333333333,0.375,105,6118,0.0447213595499961,0.046666666666667
1,-0.105,0.258333333333333,105,6119,0.0712585277547732,0.0733333333333333
1,-0.101666666666667,0.0916666666666667,105,6120,0.0549747416749018,0.0566666666666663
