"n_Acc","x","y","shoe","row_number","horiz_dist","distance_shape","new_x"
1,-0.0916666666666667,0.328333333333333,1,1,0.0466666666666666,0.145,-0.0960843373493976
1,-0.0516666666666667,0.251666666666667,1,2,0.0866666666666666,0.151666666666667,-0.0566465863453816
1,-0.0483333333333333,-0.191666666666667,1,3,0.0533333333333334,0.121666666666667,-0.0578415300546447
1,-0.0416666666666667,-0.315,1,4,0.0802772971919486,0.135,-0.046127744432859
1,-0.00833333333333333,-0.231666666666667,1,5,0.103333333333333,0.128333333333333,-0.00957711442786072
1,-0.005,-0.185,1,6,0.093392838174146,0.121666666666667,-0.00618269931655636
1,0.00833333333333333,0.408333333333333,1,7,0.12684198393627,0.0916666666666667,0.00565109743641536
1,0.0316666666666667,-0.351666666666667,1,8,0.113529242439509,0.128333333333333,0.0279890040560106
1,0.0616666666666667,-0.0516666666666667,1,9,0.133374993491617,0.145,0.0458449064646505
1,0.075,-0.0916666666666667,1,10,0.113382342344633,0.141666666666667,0.0564012521967811
1,0.075,-0.238333333333333,1,11,0.08,0.135,0.0653225806451613
1,0.0883333333333333,-0.401666666666667,1,12,0.0466666666666667,0.118333333333333,0.0774279835390946
1,0.095,-0.0883333333333333,1,13,0.093571125650788,0.141666666666667,0.0713700641436304
1,0.108333333333333,0.318333333333333,1,14,0.0967241208569797,0.141666666666667,0.0748435226742769
1,0.111666666666667,-0.095,1,15,0.0766666666666663,0.138333333333333,0.0820206489675519
1,0.115,0.161666666666667,1,16,0.13,0.171666666666667,0.080578231292517
1,0.131666666666667,0.105,1,17,0.10354816378006,0.168333333333333,0.0942282799379386
1,0.158333333333333,-0.171666666666667,1,18,0.00942809041582066,0.135,0.127413081758063
1,0.165,-0.118333333333333,1,19,0.0202758751009941,0.138333333333333,0.12319466842382
1,0.168333333333333,-0.261666666666667,1,20,0.013333333333333,0.135,0.125091743119266
1,0.181666666666667,-0.171666666666667,1,21,0.010540925533895,0.135,0.127596416557828
0,0.025,0.0916666666666667,1,22,0.130170827931778,0.168333333333333,0.0271206475432583
0,-0.0883333333333333,-0.308333333333333,1,23,0.0333333333333334,0.135,-0.0980136986301369
0,0.211666666666667,0.121666666666667,1,24,0.0299999999999997,0.171666666666667,0.150356321839081
0,-0.055,0.245,1,25,0.0833333333333333,0.151666666666667,-0.0603012048192771
0,0.105,-0.175,1,26,0.0600925212577332,0.135,0.0858609456806998
0,0.0683333333333333,-0.408333333333333,1,27,0.0636832439151427,0.115,0.0595253527785583
0,-0.035,0.391666666666667,1,28,0.09,0.128333333333333,-0.0359333333333333
0,-0.0416666666666667,0.108333333333333,1,29,0.0707106781186547,0.145,-0.0537623190707014
0,0.0416666666666667,0.101666666666667,1,30,0.153369560937698,0.168333333333333,0.0359619798590276
0,0.0316666666666667,-0.331666666666667,1,31,0.116666666666667,0.128333333333333,0.0273970037453183
0,0.105,-0.401666666666667,1,32,0.03,0.118333333333333,0.092037037037037
0,0.145,0.251666666666667,1,33,0.0869226987360353,0.158333333333333,0.098991316755345
0,0.108333333333333,0.345,1,34,0.0769559758707683,0.128333333333333,0.0750328113235256
0,0.00833333333333333,0.268333333333333,1,35,0.15,0.158333333333333,0.00833333333333333
0,0.0516666666666667,0.188333333333333,1,36,0.19,0.168333333333333,0.0359885057471265
0,-0.0216666666666667,-0.391666666666667,1,37,0.10381607668265,0.125,-0.0215833130599793
0,0.0883333333333333,-0.295,1,38,0.0633333333333334,0.131666666666667,0.0766849816849816
0,0.0183333333333333,0.481666666666667,1,39,0.0542627353203323,0.015,0.00378808391556219
0,-0.0583333333333333,-0.328333333333333,1,40,0.0666666666666667,0.135,-0.063
0,0.0483333333333333,0.271666666666667,1,41,0.176792408082348,0.155,0.0332776990296891
1,-0.035,0.325,2,42,0.136666666666667,0.145,-0.0295631067961165
1,0.055,-0.371666666666667,2,43,0.0839311887467611,0.125,0.0494849289206868
1,0.0583333333333333,-0.0816666666666667,2,44,0.10381607668265,0.141666666666667,0.0509646559187252
0,0.035,-0.395,2,45,0.0869226987360353,0.118333333333333,0.0339696111520091
0,0.138333333333333,-0.185,2,46,0.0301846171271251,0.135,0.110819054877967
0,0.111666666666667,0.208333333333333,2,47,0.12,0.168333333333333,0.0811390887290169
0,-0.125,0.148333333333333,2,48,0.0334995854037363,0.148333333333333,-0.116982430076625
0,0.151666666666667,-0.251666666666667,2,49,0.0169967317119756,0.135,0.121395632940079
0,-0.0383333333333333,-0.215,2,50,0.12,0.125,-0.0302631578947368
0,0.0416666666666667,0.291666666666667,2,51,0.170293863659264,0.151666666666667,0.0298142509585491
0,-0.095,-0.238333333333333,2,52,0.0667499479816693,0.128333333333333,-0.0753735430446526
0,0.035,0.141666666666667,2,53,0.193333333333333,0.171666666666667,0.0263138686131387
0,0.138333333333333,0.235,2,54,0.0900000000000003,0.161666666666667,0.0979440389294402
0,0.00166666666666667,-0.308333333333333,2,55,0.163333333333333,0.131666666666667,0.00132996632996634
0,0.0816666666666667,0.468333333333333,2,56,0.0301846171271247,0.0483333333333333,0.0352899143249827
0,-0.045,0.168333333333333,2,57,0.117094453801669,0.151666666666667,-0.0421050803400759
