"n_Acc","x","y","shoe","row_number","horiz_dist","distance_shape","new_x"
1,-0.0916666666666667,-0.328333333333333,1,1,0.0333333333333333,0.135,-0.099
1,-0.0516666666666667,-0.251666666666667,1,2,0.0633333333333333,0.131666666666667,-0.0591545893719807
1,-0.0483333333333333,0.191666666666667,1,3,0.09,0.151666666666667,-0.0529919678714859
1,-0.0416666666666667,0.315,1,4,0.0968962790249909,0.148333333333333,-0.0446046778574488
1,-0.00833333333333333,0.231666666666667,1,5,0.13,0.151666666666667,-0.00913654618473895
1,-0.005,0.185,1,6,0.133333333333333,0.151666666666667,-0.00548192771084339
1,0.00833333333333333,-0.408333333333333,1,7,0.123513382090993,0.115,0.00726854158064613
1,0.0316666666666667,0.351666666666667,1,8,0.140356688476182,0.128333333333333,0.0236240531729789
1,0.0616666666666667,0.0516666666666667,1,9,0.15,0.158333333333333,0.0461286089238845
1,0.075,0.238333333333333,1,10,0.15,0.161666666666667,0.0538888888888889
1,0.075,0.0916666666666667,1,11,0.156666666666667,0.168333333333333,0.0544964028776978
1,0.0883333333333333,0.401666666666667,1,12,0.0509901951359278,0.0983333333333333,0.062344897567158
1,0.095,0.0883333333333333,1,13,0.136666666666667,0.165,0.067661870503597
1,0.108333333333333,-0.318333333333333,1,14,0.0433333333333337,0.131666666666667,0.0940476190476187
1,0.111666666666667,0.095,1,15,0.120046287369127,0.168333333333333,0.0811228802482858
1,0.115,-0.161666666666667,1,16,0.053437398472938,0.135,0.0921707420130591
1,0.131666666666667,-0.105,1,17,0.053333333333333,0.138333333333333,0.0984534534534537
1,0.158333333333333,0.171666666666667,1,18,0.0806225774829858,0.171666666666667,0.113747157217001
1,0.165,0.118333333333333,1,19,0.0703167436990966,0.171666666666667,0.12036967516523
1,0.168333333333333,0.261666666666667,1,20,0.0471404520791034,0.158333333333333,0.123693829979187
1,0.181666666666667,0.171666666666667,1,21,0.0575422550054399,0.171666666666667,0.130371856087622
0,0.025,0.065,1,22,0.116856987619721,0.161666666666667,0.0284911355759312
0,-0.0883333333333333,-0.308333333333333,1,23,0.0333333333333334,0.135,-0.0980136986301369
0,0.215,0.265,1,24,0.0033333333333333,0.158333333333333,0.155916030534351
0,-0.055,0.245,1,25,0.0833333333333333,0.151666666666667,-0.0603012048192771
0,0.105,-0.191666666666667,1,26,0.053748384988657,0.135,0.0892922469794754
0,0.0683333333333333,-0.418333333333333,1,27,0.0600925212577332,0.115,0.0611896518684328
0,-0.035,0.388333333333333,1,28,0.0900617072407087,0.128333333333333,-0.0359156033111036
0,-0.0416666666666667,0.101666666666667,1,29,0.0667499479816693,0.141666666666667,-0.0544453246112161
0,0.0416666666666667,0.095,1,30,0.146704540564436,0.168333333333333,0.0372344000550144
0,0.0316666666666667,-0.348333333333333,1,31,0.116666666666667,0.128333333333333,0.0273970037453183
0,0.105,-0.418333333333333,1,32,0.0235702260395516,0.115,0.0939175450798804
0,0.145,0.225,1,33,0.0833333333333333,0.165,0.10478102189781
0,0.108333333333333,0.308333333333333,1,34,0.0869226987360357,0.145,0.080449926011774
0,0.00833333333333333,0.241666666666667,1,35,0.146666666666667,0.161666666666667,0.00869175627240141
0,0.0516666666666667,0.181666666666667,1,36,0.186666666666667,0.171666666666667,0.0372144522144522
0,-0.0216666666666667,-0.408333333333333,1,37,0.1,0.121666666666667,-0.0216666666666667
0,0.0883333333333333,-0.311666666666667,1,38,0.0633333333333334,0.131666666666667,0.0766849816849816
0,0.0183333333333333,0.471666666666667,1,39,0.0641179468722378,0.0416666666666667,0.00926473048064659
0,-0.0583333333333333,-0.328333333333333,1,40,0.0666666666666667,0.135,-0.063
0,0.0483333333333333,0.265,1,41,0.166699996667333,0.158333333333333,0.0355887981540074
1,-0.035,-0.325,2,42,0.13,0.135,-0.0286363636363636
1,0.055,0.371666666666667,2,43,0.116856987619721,0.115,0.0368038570185795
1,0.0583333333333333,0.0816666666666667,2,44,0.160034718455437,0.165,0.0440769605313435
0,0.035,-0.398333333333333,2,45,0.0835995746932297,0.118333333333333,0.0349214293337858
0,0.138333333333333,-0.195,2,46,0.0333333333333337,0.135,0.10878640776699
0,0.111666666666667,0.185,2,47,0.12,0.171666666666667,0.0827458033573143
0,-0.125,0.148333333333333,2,48,0.0334995854037363,0.148333333333333,-0.116982430076625
0,0.151666666666667,-0.261666666666667,2,49,0.0169967317119756,0.135,0.121395632940079
0,-0.0383333333333333,-0.215,2,50,0.12,0.125,-0.0302631578947368
0,0.0416666666666667,0.288333333333333,2,51,0.173365381652611,0.151666666666667,0.0293883841680259
